Site,lat,lon
Floreana_Island,-1.2323,269.54601
Academy_Bay,-0.7667,269.71667
Roca_Espejo_1,0.3167,269.59878
Wolf_North_Corals,1.3867,268.18428
Hidden_Reef,1.6763,267.99285
Darwin_North_Anchorage,1.681,267.99943
Gorgona_Island,2.9538,281.82388
Malpelo_Island,4.0033,278.39278
Uva_Island,7.793,278.24513
Saboga_Island,8.626,280.94496
Cano_island,8.7155,276.1276
Rocas_las_tres_hermanas,9.1034,276.28221
Punta_Uvita,9.1449,276.2373
Cambutal,9.3721,275.84427
Matapalo,10.5443,274.22217
Leptoseris_reef,10.5916,274.33064
Bahia_Culebra,10.631,274.3524
Isla_San_Pedrillo_Islas_Murcielago,10.875,274.068
La_Entrega,15.7362,263.87222
Socorro_Island,18.7294,249.04277
Las_Iglesias,20.4384,254.34615
Chimo,20.4788,254.40398
Chocota,20.4916,254.46193
Yelapa,20.505,254.5487
Paredon,20.5099,254.63754
Majahuitas,20.5147,254.66705
Caletitas,20.5477,254.70569
Bahia_Banderas,20.6165,254.57121
Isla_Isabel,20.6993,254.30068
Punta_Mita,20.772,254.45633
Careyeros,20.7884,254.48989
Islas_Marietas,21.842,254.11712
Cabo_Pulmo,23.3686,250.58333
Gulf_of_California,23.8333,250.58333
